user_id,timestamp
621,0:00:02
818,0:00:10
4,0:00:21
563,0:00:21
671,0:00:26
780,0:00:28
136,0:00:33
621,0:00:58
136,0:01:00
831,0:01:04
232,0:01:07
731,0:01:26
818,0:01:32
136,0:01:33
136,0:01:41
971,0:01:43
449,0:01:49
213,0:01:50
637,0:01:50
941,0:01:50
531,0:01:53
862,0:02:44
612,0:02:47
405,0:02:59
186,0:03:34
244,0:03:35
590,0:03:36
437,0:03:44
318,0:03:51
750,0:03:52
210,0:03:56
403,0:04:05
136,0:05:00
136,0:05:07
334,0:05:18
15,0:05:25
136,0:05:28
188,0:05:43
318,0:05:45
136,0:05:52
341,0:05:54
210,0:05:58
994,0:06:00
682,0:06:11
100,0:06:27
8,0:06:34
361,0:07:09
253,0:07:10
471,0:07:18
171,0:07:26
218,0:07:36
126,0:07:39
72,0:07:45
207,0:08:16
526,0:08:30
519,0:08:40
553,0:08:43
748,0:08:57
858,0:09:06
594,0:09:20
188,0:09:23
918,0:09:24
788,0:09:37
437,0:09:44
831,0:09:51
982,0:09:52
767,0:10:06
351,0:10:17
665,0:10:18
4,0:10:33
215,0:10:33
297,0:10:39
994,0:10:49
903,0:10:50
872,0:10:59
232,0:11:02
818,0:11:03
305,0:11:14
994,0:11:19
136,0:11:21
590,0:11:23
828,0:11:32
678,0:11:58
974,0:12:02
670,0:12:02
831,0:12:16
858,0:12:33
346,0:12:43
326,0:12:45
808,0:12:49
210,0:13:01
202,0:13:22
314,0:13:22
631,0:13:25
594,0:13:28
324,0:13:36
805,0:13:41
975,0:13:47
777,0:13:53
412,0:14:21
744,0:14:31
202,0:14:34
647,0:14:58
224,0:15:12
621,0:15:13
671,0:15:14
831,0:15:18
28,0:15:20
459,0:15:23
818,0:15:25
656,0:15:35
148,0:15:42
665,0:15:59
126,0:16:00
950,0:16:02
176,0:16:06
66,0:16:07
750,0:16:18
346,0:16:20
726,0:16:27
561,0:16:35
872,0:16:38
336,0:16:39
576,0:16:47
788,0:16:48
66,0:17:06
188,0:17:14
42,0:17:15
561,0:17:26
174,0:17:27
308,0:17:40
351,0:17:48
647,0:17:49
814,0:17:49
462,0:17:54
136,0:18:25
55,0:18:29
78,0:18:30
682,0:18:32
448,0:18:45
916,0:18:49
922,0:19:03
459,0:19:14
341,0:19:17
462,0:19:46
459,0:19:48
584,0:19:49
168,0:19:52
191,0:19:58
449,0:20:13
10,0:20:15
950,0:20:16
202,0:20:18
882,0:20:56
202,0:21:09
173,0:21:14
930,0:21:21
266,0:21:22
365,0:21:29
850,0:21:56
612,0:22:00
564,0:22:21
564,0:22:30
136,0:22:36
136,0:22:38
136,0:22:38
621,0:22:44
365,0:23:02
40,0:23:03
34,0:23:16
602,0:23:20
136,0:23:28
994,0:23:37
42,0:23:42
790,0:23:47
215,0:23:58
186,0:24:01
736,0:24:08
343,0:24:12
818,0:24:16
602,0:24:23
971,0:24:29
805,0:24:40
266,0:24:51
266,0:25:05
343,0:25:06
324,0:25:11
543,0:25:22
526,0:25:25
194,0:25:31
136,0:25:40
975,0:25:47
136,0:25:51
76,0:26:16
477,0:26:21
602,0:26:29
7,0:26:47
318,0:27:01
862,0:27:01
53,0:27:09
361,0:27:10
526,0:27:15
527,0:27:21
160,0:27:55
28,0:27:59
291,0:28:02
388,0:28:10
273,0:28:15
780,0:28:16
136,0:28:19
341,0:28:22
202,0:28:31
343,0:28:41
612,0:28:42
4,0:29:02
318,0:29:15
760,0:29:40
320,0:29:54
994,0:30:01
343,0:30:02
519,0:30:03
95,0:30:08
196,0:30:17
343,0:30:20
621,0:30:23
665,0:30:48
311,0:31:08
196,0:31:17
669,0:31:22
324,0:31:40
318,0:31:46
590,0:31:52
975,0:31:53
717,0:31:59
63,0:32:00
478,0:32:08
215,0:32:24
882,0:32:43
785,0:32:50
882,0:32:52
343,0:32:59
15,0:33:00
612,0:33:12
736,0:33:17
916,0:33:18
492,0:33:28
201,0:33:33
609,0:33:33
858,0:33:44
561,0:33:45
297,0:33:45
98,0:33:53
524,0:34:01
136,0:34:04
318,0:34:05
136,0:34:07
971,0:34:38
136,0:34:47
1013,0:34:54
95,0:35:11
136,0:35:37
670,0:35:41
299,0:35:41
969,0:35:43
328,0:35:54
403,0:35:57
495,0:36:10
788,0:36:17
78,0:36:28
780,0:36:35
481,0:36:36
670,0:36:39
405,0:36:46
343,0:36:46
273,0:36:49
388,0:36:52
818,0:37:08
95,0:37:18
790,0:37:24
492,0:37:35
720,0:37:41
561,0:37:56
930,0:38:03
790,0:38:04
311,0:38:07
228,0:38:15
493,0:38:25
403,0:38:29
215,0:38:36
481,0:38:41
343,0:38:52
202,0:39:21
136,0:39:21
343,0:39:24
1009,0:39:29
343,0:39:37
731,0:39:38
788,0:39:52
186,0:40:11
780,0:40:12
805,0:40:21
1013,0:40:21
478,0:40:21
688,0:40:22
656,0:40:24
176,0:40:30
194,0:40:32
493,0:40:35
26,0:40:36
15,0:40:38
188,0:40:47
215,0:40:48
639,0:40:48
399,0:41:03
202,0:41:07
343,0:41:09
969,0:41:34
78,0:42:01
870,0:42:12
529,0:42:15
492,0:42:17
918,0:42:32
202,0:42:42
831,0:42:49
858,0:42:50
414,0:42:56
870,0:42:58
975,0:43:10
40,0:43:13
736,0:43:15
603,0:43:43
76,0:43:48
26,0:44:00
665,0:44:05
136,0:44:18
748,0:44:23
72,0:44:26
186,0:44:29
365,0:44:29
646,0:44:41
311,0:44:48
40,0:44:50
297,0:44:55
336,0:45:24
365,0:45:25
561,0:45:44
191,0:45:46
818,0:46:06
136,0:46:20
136,0:46:35
553,0:46:36
512,0:46:54
930,0:46:55
748,0:47:06
688,0:47:18
305,0:47:19
882,0:47:32
609,0:47:36
136,0:47:46
994,0:47:47
448,0:47:59
191,0:48:16
971,0:48:20
328,0:48:37
136,0:48:38
186,0:48:40
343,0:48:52
186,0:48:55
994,0:49:04
592,0:49:10
343,0:49:11
808,0:49:18
328,0:49:18
324,0:49:19
136,0:49:23
403,0:49:37
1013,0:49:46
669,0:49:54
647,0:50:00
619,0:50:01
53,0:50:07
136,0:50:09
315,0:50:13
780,0:50:14
614,0:50:32
215,0:50:36
191,0:50:52
176,0:50:56
1009,0:51:09
736,0:51:09
930,0:51:12
592,0:51:15
531,0:51:15
614,0:51:25
524,0:51:31
334,0:52:00
343,0:52:04
590,0:52:10
884,0:52:14
543,0:52:21
750,0:52:39
311,0:52:45
640,0:52:45
975,0:52:55
179,0:52:58
326,0:53:06
202,0:53:18
315,0:53:21
341,0:53:24
348,0:53:28
136,0:53:38
136,0:53:41
76,0:53:43
870,0:53:55
194,0:53:59
76,0:54:03
343,0:54:12
179,0:54:15
647,0:54:17
609,0:54:17
362,0:54:54
614,0:55:00
814,0:55:05
862,0:55:08
748,0:55:11
311,0:55:15
736,0:55:23
457,0:55:25
671,0:55:26
10,0:55:33
780,0:55:50
612,0:55:56
828,0:55:57
412,0:56:12
767,0:56:14
930,0:56:15
176,0:56:25
254,0:56:31
202,0:56:44
343,0:56:48
215,0:57:16
207,0:57:26
519,0:57:32
437,0:57:33
403,0:57:44
886,0:58:02
343,0:58:06
71,0:58:07
480,0:58:18
365,0:58:19
561,0:58:20
459,0:58:21
1009,0:58:22
655,0:58:28
1013,0:58:44
922,0:58:46
273,0:58:54
215,0:59:12
136,0:59:35
202,0:59:45
889,0:59:45
950,0:59:54
201,1:00:04
603,1:00:07
643,1:00:08
136,1:00:13
870,1:00:15
164,1:00:20
365,1:00:24
