"770567971701940224","@LonelySoad mientras que no te pillen la primera semana que es cuando tienes la nariz como un payaso ","N"
"770503386789711872","@ceemeese ya era hora de volver al csgo y dejares el padel bienvenida ","P"
"770502863017635840","@mireiaescribano justo cuando se terminan las fiestas de verano, me viene genial  ","P"
"770599972102348800","@LuisMartinez22_ pensba q iba a hacer @wxplosive una reflexion profunda de las q me hace a mi pero ","N"
"770599962216390656","@Vic_Phantomhive Si lo encuentro, sin compañeros y barato, me iría hasta ahora mismo ","P"
"770599405816864768","@MentalistGirl @PamplingNews lo sé, lo sé...la sigo desde hace tiempo Jajajaja es de mis favoritas ","P"
"770453393714348032","Eso de echar de menos tu propia casa son leyendas urbanas ","P"
"770466143098241025","@kaveri_miguel yo estoy igual, he dormido nada o menos... Y en una hora en marcha a currar ","N"
"770536258682617856","@Aymerich97 yo solo puse las evos de eevee ","NONE"
"770613199200620545","@Caspitoo el día que te vi en persona estuviste híper soso conmigo... ¡nunca lo olvidaré! ","N"
"770612909105905665","Echo de menos las sudaderas y los pantalones largos ","N"
"770610067146235904","Quiero mimos. Y un zumo de naranja. Estoy enfermita ","N"
"770633854667386880","@zambricanto @ConsueCaballer me he quedado sorprendida!  Me encantan! Y me alegro de lo de Blas ","P"
"770633713822601216","@Defconplay de hecho lo confirmo, los caminos y las casitas son las mismas ","NONE"
"770443909260570624","@Nebirous una de mis favoritas de tu galería, la luz que captaste es muy misteriosa además... me encanta! ","P"
"770434045469659136","La radio de cercanía, la radio más cercana a la realidad en @HablarporHablar con esta llamada ","NONE"
"770463923342540800","A ver sé que mido menos de 1'50 pero que NO TENGO 10 AÑOS o sea os lo digo en serio no tengo 10 años ","N"
"770496679632076800","@enekoolabuenaga seguramente no podré estar online hasta mañana ","N"
"770456170691780608","Yo a las 5 a No puedo dormir *se pone a ver Peppa Pig*esto es peor ","N"
"770499448438915072","@Miriam_Munuera calor?! Calor?? Hoy mehe muerto de frío ","N"
"770510704080281600","Buenos dias, vamos a hacer algunos recados y a empezar el dia con energia!! ","P"
"770434546168897536","sabes que tu vida es muy puta cuando empiezas las clases en menos de una semana ","N"
"770081000747573248","@EstreMaimona Hija mía ...Haces inteligente a la anormal de ""yolanda morin"".... ","N"
"770080539130916864","Acaso se nota que extraño muchísimo a Irene y a LucíaAAAAA. Es una broma esto ","N"
"770080368636592129","@apr15__ seamos como seamos siempre vamos a ser criticados....la vida es asi ","N"
"770772755637764096","q en horas estemos en septiembre, perdona?????  24 junio dnde stas ","N"
"770789027142328326","Vas tranquilo por la calle y por la cara te encuentras a una persona que no tienes ganas de ver ","N"
"770792054519656448","Noemi duerme y yo estoy abandonada, hacedme caso ","N"
"770773957775593472","@OnceInfinito lo malo es cuando no hace falta traducirlos porque los entiendes...  ","N"
"770877057765105664","@dinomamut_ Buenos días! Ojalá extras todos los meses, sí ","P"
"770942085960724480","Que me dejen de llegar correos de la universidad cuando estoy en el pueblo POR FAVOR ","N"
"770941295883853824","Muchas gracias por este fantástico post  @conelmorrofino","P"
"770940641601781760","@AngelMica13 Es que los tiempos son distintos en cada país  A trabajar todos!","NEU"
